,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
25,Keith Aucoin,28,RW,CAR,8,0,1,1,1,0,0.1,0,0,0,0,0,1,0,6,0.0,50,6:17,,,,,
26,Sean Avery,26,LW,TOT,84,18,30,48,1,174,4.2,15,2,1,2,16,13,1,249,7.2,1444,17:11,,,,,
27,Sean Avery,26,LW,LAK,55,10,18,28,-10,116,1.8,8,1,1,2,10,8,0,160,6.3,927,16:52,,,,,
28,Sean Avery,26,LW,NYR,29,8,12,20,11,58,2.4,7,1,0,0,6,5,1,89,9.0,517,17:49,,,,,
29,P.J. Axelsson,31,LW,BOS,55,11,16,27,-10,52,1.7,6,3,2,0,9,7,0,81,13.6,1076,19:34,,,,,
30,Anton Babchuk,22,D,CAR,52,2,12,14,-6,30,2.0,2,0,0,2,8,3,1,63,3.2,906,17:26,,,,,
31,David Backes,22,C,STL,49,10,13,23,6,37,2.4,8,2,0,2,12,1,0,89,11.2,657,13:25,,,,,
32,Christian Backman,26,D,STL,61,7,11,18,13,36,4.7,6,1,0,0,8,3,0,80,8.8,1352,22:10,,,,,
33,Jaroslav Balastik,27,LW,CBJ,8,1,1,2,-3,4,0.1,0,1,0,0,1,0,0,6,16.7,65,8:10,,,,,
34,Keith Ballard,24,D,PHX,69,5,22,27,-7,59,4.2,3,2,0,0,12,9,1,79,6.3,1518,22:00,,,,,
35,Krys Barch,26,RW,DAL,26,3,2,5,2,107,0.7,3,0,0,2,2,0,0,12,25.0,147,5:38,,,,,
36,Cam Barker,20,D,CHI,35,1,7,8,-12,44,0.7,0,1,0,0,2,5,0,38,2.6,676,19:19,,,,,
37,Matthew Barnaby,33,RW,DAL,39,1,6,7,5,127,0.6,1,0,0,0,6,0,0,22,4.5,317,8:07,,,,,
38,Stu Barnes,36,C,DAL,82,13,12,25,-2,40,2.0,12,1,0,2,11,0,1,118,11.0,1320,16:06,,,,,
39,Shawn Bates,31,C,NYI,48,4,6,10,13,34,0.7,3,0,1,0,6,0,0,50,8.0,601,12:32,,,,,
40,Bates Battaglia,31,LW,TOR,82,12,19,31,9,45,2.6,12,0,0,0,19,0,0,94,12.8,1021,12:27,,,,,
41,Nolan Baumgartner,30,D,TOT,13,0,3,3,0,21,0.6,0,0,0,0,2,1,0,8,0.0,176,13:30,,,,,
42,Nolan Baumgartner,30,D,DAL,7,0,2,2,0,0,0.4,0,0,0,0,1,1,0,4,0.0,86,12:14,,,,,
43,Nolan Baumgartner,30,D,PHI,6,0,1,1,0,21,0.2,0,0,0,0,1,0,0,4,0.0,90,15:00,,,,,
44,Ryan Bayda,26,LW,CAR,9,1,1,2,-1,2,0.1,1,0,0,0,1,0,0,10,10.0,78,8:41,,,,,
45,Francois Beauchemin,26,D,ANA,71,7,21,28,7,49,6.3,5,2,0,0,10,11,0,128,5.5,1809,25:28,,,,,
46,Kris Beech,25,C,WSH,64,8,18,26,-11,46,1.6,5,3,0,0,10,8,0,77,10.4,798,12:28,,,,,
47,Steve Begin,28,LW,MTL,52,5,5,10,-6,46,0.3,5,0,0,0,3,0,2,64,7.8,619,11:55,,,,,
48,Wade Belak,30,D,TOR,65,0,3,3,-8,110,-0.2,0,0,0,0,3,0,0,16,0.0,327,5:02,,,,,
49,Eric Belanger,29,C,TOT,80,17,18,35,-2,26,3.0,13,4,0,1,16,2,0,149,11.4,1299,16:15,,,,,
50,Eric Belanger,29,C,CAR,56,8,12,20,-2,14,1.4,5,3,0,1,10,2,0,100,8.0,832,14:51,,,,,
51,Eric Belanger,29,C,ATL,24,9,6,15,0,12,1.6,8,1,0,0,6,0,0,49,18.4,468,19:29,,,,,
52,Brendan Bell,23,D,TOT,45,1,6,7,-11,27,0.4,0,1,0,0,5,1,0,47,2.1,616,13:41,,,,,
53,Brendan Bell,23,D,TOR,31,1,4,5,-3,19,0.5,0,1,0,0,4,0,0,29,3.4,376,12:08,,,,,
54,Brendan Bell,23,D,PHX,14,0,2,2,-8,8,-0.2,0,0,0,0,1,1,0,18,0.0,240,17:07,,,,,
55,Mark Bell,26,LW,SJS,71,11,10,21,-9,83,1.5,8,3,0,2,6,4,0,116,9.5,920,12:57,,,,,
56,Shawn Belle,22,D,MIN,9,0,1,1,4,0,0.6,0,0,0,0,1,0,0,3,0.0,89,9:56,,,,,
57,Bryan Berard,29,D,CBJ,11,0,3,3,-4,8,0.3,0,0,0,0,2,1,0,22,0.0,209,18:58,,,,,
58,Marc-Andre Bergeron,26,D,TOT,78,14,32,46,-4,38,7.8,4,10,0,4,17,15,0,166,8.4,1491,19:07,,,,,
59,Marc-Andre Bergeron,26,D,EDM,55,8,17,25,-9,28,4.3,2,6,0,3,7,10,0,111,7.2,960,17:27,,,,,
60,Marc-Andre Bergeron,26,D,NYI,23,6,15,21,5,10,3.5,2,4,0,1,10,5,0,55,10.9,532,23:07,,,,,
61,Patrice Bergeron,21,C,BOS,77,22,48,70,-28,26,5.8,8,14,0,6,22,24,2,224,9.8,1603,20:49,,,,,
62,Steve Bernier,21,RW,SJS,62,15,16,31,5,29,3.6,9,6,0,4,8,8,0,104,14.4,842,13:35,,,,,
63,Todd Bertuzzi,31,RW,TOT,15,3,8,11,-1,19,1.0,2,1,0,0,4,4,0,23,13.0,240,16:00,,,,,
64,Todd Bertuzzi,31,RW,DET,8,2,2,4,3,6,0.5,2,0,0,0,1,1,0,15,13.3,124,15:32,,,,,
65,Todd Bertuzzi,31,RW,FLA,7,1,6,7,-4,13,0.4,0,1,0,0,3,3,0,8,12.5,116,16:32,,,,,
66,Blair Betts,26,C,NYR,82,9,4,13,-4,24,0.1,7,1,1,0,4,0,0,120,7.5,1151,14:02,,,,,
67,Bryan Bickell,20,LW,CHI,3,2,0,2,1,0,0.4,2,0,0,0,0,0,0,10,20.0,35,11:49,,,,,
68,Kevin Bieksa,25,D,VAN,81,12,30,42,1,134,8.6,6,6,0,2,17,13,0,203,5.9,1966,24:16,,,,,
69,Sebastien Bisaillon,20,D,EDM,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,28,14:12,,,,,
70,Jason Blake,33,LW,NYI,82,40,29,69,1,34,8.3,26,14,0,7,21,8,0,305,13.1,1488,18:09,,,,,
71,Rob Blake,37,D,LAK,72,14,20,34,-26,82,4.6,3,11,0,1,4,15,1,208,6.7,1757,24:24,,,,,
72,Mike Blunden,20,RW,CHI,9,0,0,0,-5,10,-0.4,0,0,0,0,0,0,0,10,0.0,102,11:23,,,,,
73,Brandon Bochenski,24,RW,TOT,41,13,11,24,1,16,2.9,10,3,0,2,9,2,0,92,14.1,564,13:46,,,,,
74,Brandon Bochenski,24,RW,BOS,31,11,11,22,3,14,2.8,8,3,0,2,9,2,0,72,15.3,464,14:59,,,,,
75,Brandon Bochenski,24,RW,CHI,10,2,0,2,-2,2,0.2,2,0,0,0,0,0,0,20,10.0,100,9:59,,,,,
76,Eric Boguniecki,31,C,NYI,11,0,0,0,0,8,-0.1,0,0,0,0,0,0,0,2,0.0,54,4:54,,,,,
77,Danny Bois,23,RW,OTT,1,0,0,0,0,7,0.0,0,0,0,0,0,0,0,1,0.0,4,3:53,,,,,
78,Dave Bolland,20,C,CHI,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,11,11:17,,,,,
79,Peter Bondra,38,RW,CHI,37,5,9,14,2,26,1.3,3,2,0,3,8,1,0,46,10.9,445,12:01,,,,,
80,Radek Bonk,31,C,MTL,74,13,10,23,0,54,1.8,10,1,2,1,8,1,1,111,11.7,1174,15:52,,,,,
81,Derek Boogaard,24,LW,MIN,48,0,1,1,0,120,-0.2,0,0,0,0,1,0,0,11,0.0,222,4:38,,,,,
82,David Booth,22,LW,FLA,48,3,7,10,0,12,0.4,3,0,0,1,7,0,0,86,3.5,459,9:34,,,,,
83,Darryl Bootland,25,RW,DET,6,0,0,0,0,9,0.0,0,0,0,0,0,0,0,4,0.0,25,4:08,,,,,
84,Pierre-Marc Bouchard,22,C,MIN,82,20,37,57,13,14,6.6,15,5,0,3,18,19,0,173,11.6,1311,15:59,,,,,
85,Philippe Boucher,33,D,DAL,76,19,32,51,2,104,10.5,7,12,0,4,12,19,1,222,8.6,1740,22:54,,,,,
86,Tyler Bouck,27,LW,VAN,6,0,0,0,-1,16,-0.1,0,0,0,0,0,0,0,7,0.0,48,7:55,,,,,
87,Francis Bouillon,31,D,MTL,62,3,11,14,-10,52,2.3,2,1,0,1,9,1,1,56,5.4,1135,18:19,,,,,
88,Eric Boulton,30,LW,ATL,45,3,4,7,2,49,0.6,3,0,0,0,4,0,0,42,7.1,282,6:16,,,,,
89,Luc Bourdon,19,D,VAN,9,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,3,0.0,80,8:50,,,,,
90,Rene Bourque,25,LW,CHI,44,7,10,17,-4,38,1.1,4,2,1,1,8,2,0,82,8.5,705,16:01,,,,,
91,Jay Bouwmeester,23,D,FLA,82,12,30,42,23,66,8.8,9,3,0,3,22,8,0,174,6.9,2144,26:09,,,,,
92,Dustin Boyd,20,C,CGY,13,2,2,4,5,4,0.6,2,0,0,1,2,0,0,8,25.0,132,10:09,,,,,
93,Brad Boyes,24,C,TOT,81,17,29,46,-17,29,3.6,15,1,1,2,20,8,1,182,9.3,1327,16:23,,,,,
94,Brad Boyes,24,C,BOS,62,13,21,34,-17,25,2.5,11,1,1,1,13,7,1,139,9.4,996,16:04,,,,,
95,Brad Boyes,24,C,STL,19,4,8,12,0,4,1.0,4,0,0,1,7,1,0,43,9.3,331,17:25,,,,,
96,Dan Boyle,30,D,TBL,82,20,43,63,-5,62,10.4,9,10,1,4,16,27,0,203,9.9,2218,27:03,,,,,
97,Nick Boynton,28,D,PHX,59,2,9,11,-13,138,1.3,1,1,0,0,9,0,0,53,3.8,991,16:48,,,,,
98,Matt Bradley,28,RW,WSH,57,4,9,13,-5,47,0.3,4,0,0,0,8,0,1,77,5.2,679,11:55,,,,,
99,Donald Brashear,35,LW,WSH,77,4,9,13,1,156,0.6,4,0,0,0,8,1,0,47,8.5,614,7:58,,,,,
100,Tim Brent,22,C,ANA,15,1,0,1,-5,6,-0.2,1,0,0,0,0,0,0,14,7.1,104,6:55,,,,,
101,Eric Brewer,27,D,STL,82,6,23,29,-10,69,4.4,4,2,0,1,16,6,1,111,5.4,2011,24:32,,,,,
102,Daniel Briere,29,C,BUF,81,32,63,95,17,89,10.0,23,9,0,6,42,21,0,234,13.7,1564,19:19,,,,,
103,Rod Brind'Amour,36,C,CAR,78,26,56,82,7,46,8.2,15,9,2,5,32,21,3,181,14.4,1819,23:19,,,,,
104,Patrice Brisebois,36,D,COL,33,1,10,11,-5,22,1.3,0,1,0,0,6,4,0,36,2.8,640,19:23,,,,,
105,Kyle Brodziak,22,C,EDM,6,1,0,1,0,2,0.1,1,0,0,0,0,0,0,11,9.1,103,17:08,,,,,
106,Sheldon Brookbank,26,D,NSH,3,0,1,1,0,12,0.1,0,0,0,0,1,0,0,3,0.0,25,8:16,,,,,
107,Wade Brookbank,29,D,BOS,7,1,0,1,-1,15,0.2,1,0,0,0,0,0,0,1,100.0,31,4:25,,,,,
108,Alex Brooks,30,D,NJD,19,0,1,1,-1,4,0.3,0,0,0,0,1,0,0,4,0.0,164,8:39,,,,,
109,Troy Brouwer,21,RW,CHI,10,0,0,0,-7,7,-0.5,0,0,0,0,0,0,0,7,0.0,99,9:55,,,,,
110,Curtis Brown,30,C,SJS,78,8,12,20,-2,56,1.2,6,0,2,3,10,1,1,84,9.5,1027,13:10,,,,,
111,Dustin Brown,22,LW,LAK,81,17,29,46,-21,54,2.8,4,13,0,1,16,12,1,195,8.7,1516,18:43,,,,,
112,Gilbert Brule,20,C,CBJ,78,9,10,19,-21,28,0.7,6,3,0,0,6,4,0,98,9.2,830,10:39,,,,,
113,Andrew Brunette,33,LW,COL,82,27,56,83,-8,36,8.2,18,9,0,2,29,27,0,173,15.6,1436,17:31,,,,,
114,Sergei Brylin,33,C,NJD,82,16,24,40,-5,35,3.4,8,8,0,2,16,7,1,97,16.5,1456,17:45,,,,,
115,Jan Bulis,28,C,VAN,79,12,11,23,-8,70,1.5,10,1,1,2,9,2,0,122,9.8,1136,14:23,,,,,
116,Adam Burish,24,RW,CHI,9,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,12,0.0,100,11:08,,,,,
117,Brent Burns,21,D,MIN,77,7,18,25,16,26,6.6,4,3,0,3,13,4,1,108,6.5,1216,15:48,,,,,
118,Alexandre Burrows,25,LW,VAN,81,3,6,9,-7,93,-0.5,3,0,0,1,5,1,0,70,4.3,927,11:26,,,,,
119,Dustin Byfuglien,21,D,CHI,9,1,2,3,-2,10,0.4,1,0,0,0,0,2,0,18,5.6,156,17:18,,,,,
120,Eric Cairns,32,D,PIT,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,1,0:42,,,,,
121,Petr Cajanek,31,C,STL,77,15,33,48,9,54,4.5,14,1,0,1,25,8,0,167,9.0,1251,16:15,,,,,
122,Kyle Calder,28,LW,TOT,78,14,21,35,-25,58,2.0,9,3,2,2,14,7,0,130,10.8,1212,15:32,,,,,
123,Kyle Calder,28,LW,PHI,59,9,12,21,-31,36,0.3,5,2,2,0,8,4,0,88,10.2,887,15:02,,,,,
124,Kyle Calder,28,LW,DET,19,5,9,14,6,22,1.6,4,1,0,2,6,3,0,42,11.9,325,17:05,,,,,
125,Ryan Callahan,21,RW,NYR,14,4,2,6,5,9,1.0,4,0,0,1,2,0,0,40,10.0,147,10:31,,,,,
126,Mike Cammalleri,24,C,LAK,81,34,46,80,5,48,9.1,18,16,0,5,25,21,0,299,11.4,1462,18:03,,,,,
127,Brian Campbell,27,D,BUF,82,6,42,48,28,35,7.6,5,1,0,1,33,8,1,92,6.5,1794,21:53,,,,,
128,Darcy Campbell,22,D,CBJ,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,5:41,,,,,
129,Gregory Campbell,23,C,FLA,79,6,3,9,-10,66,-0.5,5,0,1,0,3,0,0,103,5.8,835,10:34,,,,,
130,Chris Campoli,22,D,NYI,51,1,13,14,-3,23,1.8,1,0,0,0,9,4,0,41,2.4,756,14:50,,,,,
131,Daniel Carcillo,22,LW,PHX,18,4,3,7,-7,74,0.4,1,3,0,0,3,0,0,32,12.5,269,14:56,,,,,
132,Mike Card,20,D,BUF,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,18,4:34,,,,,
133,Matt Carle,22,D,SJS,77,11,31,42,9,30,8.2,3,8,0,1,13,18,0,111,9.9,1397,18:08,,,,,
134,Keith Carney,36,D,MIN,80,4,13,17,22,58,6.0,4,0,0,1,11,0,2,31,12.9,1242,15:31,,,,,
135,Anson Carter,32,RW,TOT,64,11,17,28,-4,18,2.4,7,4,0,1,13,4,0,70,15.7,901,14:05,,,,,
136,Anson Carter,32,RW,CBJ,54,10,17,27,-1,16,2.5,7,3,0,1,13,4,0,62,16.1,800,14:49,,,,,
137,Anson Carter,32,RW,CAR,10,1,0,1,-3,2,-0.1,0,1,0,0,0,0,0,8,12.5,100,10:03,,,,,
138,Jeff Carter,22,C,PHI,62,14,23,37,-17,48,2.6,9,3,2,1,18,4,1,215,6.5,1178,19:00,,,,,
139,Zdeno Chara,29,D,BOS,80,11,32,43,-21,100,6.5,2,9,0,3,14,17,1,204,5.4,2237,27:58,,,,,
140,Jonathan Cheechoo,26,RW,SJS,76,37,32,69,11,69,9.2,22,15,0,5,17,15,0,250,14.8,1334,17:34,,,,,
141,Chris Chelios,45,D,DET,71,0,11,11,11,34,3.3,0,0,0,0,10,0,1,72,0.0,1287,18:08,,,,,
142,Jason Chimera,27,LW,CBJ,82,15,21,36,2,91,3.3,11,2,2,2,19,2,0,151,9.9,1260,15:22,,,,,
143,Stanislav Chistov,23,RW,TOT,61,5,8,13,-8,36,0.7,4,1,0,1,8,0,0,49,10.2,519,8:30,,,,,
144,Stanislav Chistov,23,RW,BOS,60,5,8,13,-8,36,0.7,4,1,0,1,8,0,0,49,10.2,515,8:35,,,,,
145,Stanislav Chistov,23,RW,ANA,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:09,,,,,
146,Marc Chouinard,29,C,VAN,42,2,2,4,-2,10,-0.1,1,1,0,0,2,0,0,15,13.3,396,9:26,,,,,
147,Erik Christensen,23,C,PIT,61,18,15,33,-3,26,3.8,12,6,0,1,10,5,0,133,13.5,709,11:38,,,,,
148,Brett Clark,30,D,COL,82,10,29,39,5,50,6.7,6,4,0,1,18,10,1,140,7.1,1942,23:41,,,,,
149,Chris Clark,30,RW,WSH,74,30,24,54,-10,66,5.9,17,9,4,2,17,7,0,164,18.3,1363,18:25,,,,,
150,Noah Clarke,27,LW,LAK,13,2,0,2,-6,4,0.0,1,0,1,0,0,0,0,11,18.2,112,8:36,,,,,
151,David Clarkson,22,RW,NJD,7,3,1,4,-1,6,0.5,1,2,0,1,1,0,0,18,16.7,119,17:02,,,,,
152,Dan Cleary,28,RW,DET,71,20,20,40,6,24,4.5,12,6,2,5,17,2,1,135,14.8,1098,15:28,,,,,
153,Ryane Clowe,24,LW,SJS,58,16,18,34,4,78,4.1,12,4,0,3,15,3,0,93,17.2,765,13:11,,,,,
154,Ben Clymer,28,D,WSH,66,7,13,20,-17,44,2.1,7,0,0,0,6,7,0,78,9.0,920,13:57,,,,,
155,Braydon Coburn,21,D,TOT,49,3,8,11,-1,46,2.1,2,1,0,0,5,3,0,54,5.6,758,15:29,,,,,
156,Braydon Coburn,21,D,ATL,29,0,4,4,1,30,0.7,0,0,0,0,3,1,0,21,0.0,339,11:41,,,,,
157,Braydon Coburn,21,D,PHI,20,3,4,7,-2,16,1.3,2,1,0,0,2,2,0,33,9.1,419,20:58,,,,,
158,Carlo Colaiacovo,24,D,TOR,48,8,9,17,5,22,3.3,8,0,0,1,4,5,0,60,13.3,862,17:57,,,,,
159,Erik Cole,28,LW,CAR,71,29,32,61,2,76,7.1,20,9,0,4,22,9,1,166,17.5,1279,18:01,,,,,
160,Jeremy Colliton,22,C,NYI,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,5,4:40,,,,,
161,Blake Comeau,20,RW,NYI,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0.0,28,9:25,,,,,
162,Mike Commodore,27,D,CAR,82,7,22,29,0,113,5.3,5,0,2,1,18,1,3,136,5.1,1631,19:54,,,,,
163,Mike Comrie,26,C,TOT,65,20,25,45,0,44,4.7,13,7,0,3,17,8,0,125,16.0,991,15:15,,,,,
164,Mike Comrie,26,C,OTT,41,13,12,25,-1,24,2.6,10,3,0,2,8,4,0,87,14.9,593,14:27,,,,,
165,Mike Comrie,26,C,PHX,24,7,13,20,1,20,2.1,3,4,0,1,9,4,0,38,18.4,398,16:36,,,,,
166,Chris Conner,23,RW,DAL,11,1,2,3,-3,4,0.1,1,0,0,0,2,0,0,18,5.6,124,11:15,,,,,
167,Tim Connolly,25,C,BUF,2,1,0,1,1,2,0.2,1,0,0,0,0,0,0,2,50.0,26,13:07,,,,,
168,Craig Conroy,35,C,TOT,80,13,24,37,-3,56,2.6,8,4,1,2,18,5,1,112,11.6,1253,15:40,,,,,
169,Craig Conroy,35,C,LAK,52,5,11,16,-13,38,0.2,1,4,0,2,8,3,0,73,6.8,805,15:29,,,,,
170,Craig Conroy,35,C,CGY,28,8,13,21,10,18,2.5,7,0,1,0,10,2,1,39,20.5,448,16:00,,,,,
171,Matt Cooke,28,LW,VAN,81,10,20,30,0,64,2.1,9,1,0,3,15,3,2,133,7.5,1264,15:37,,,,,
172,Carl Corazzini,27,C,CHI,7,0,1,1,0,2,0.0,0,0,0,0,1,0,0,5,0.0,76,10:47,,,,,
173,Joe Corvo,29,D,OTT,76,8,29,37,8,42,5.6,5,3,0,2,17,12,0,160,5.0,1373,18:04,,,,,
174,Riley Cote,24,LW,PHI,8,0,0,0,0,11,-0.1,0,0,0,0,0,0,0,3,0.0,36,4:30,,,,,
175,Patrick Coulombe,21,D,VAN,7,0,1,1,-6,4,-0.2,0,0,0,0,1,0,0,11,0.0,95,13:38,,,,,
176,Jeff Cowan,30,LW,TOT,63,7,5,12,3,125,1.2,6,0,1,0,5,0,0,74,9.5,507,8:02,,,,,
177,Jeff Cowan,30,LW,VAN,42,7,3,10,4,93,1.4,6,0,1,0,3,0,0,46,15.2,347,8:15,,,,,
178,Jeff Cowan,30,LW,LAK,21,0,2,2,-1,32,-0.1,0,0,0,0,2,0,0,28,0.0,160,7:37,,,,,
179,Ryan Craig,25,C,TBL,72,14,13,27,-11,55,1.9,10,4,0,2,6,7,0,130,10.8,1104,15:20,,,,,
180,Sidney Crosby,19,C,PIT,79,36,84,120,10,60,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46,,,,,
181,Mark Cullen,28,C,PHI,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,19,6:15,,,,,
182,Matt Cullen,30,C,NYR,80,16,25,41,0,52,3.5,11,2,3,2,18,5,2,217,7.4,1373,17:10,,,,,
183,Jassen Cullimore,34,D,CHI,65,1,6,7,-6,64,1.5,1,0,0,0,6,0,0,17,5.9,1058,16:17,,,,,
184,Kyle Cumiskey,20,D,COL,9,1,1,2,0,2,0.4,1,0,0,0,1,0,0,8,12.5,121,13:28,,,,,
185,Trevor Daley,23,D,DAL,74,4,8,12,2,63,4.4,4,0,0,1,6,2,0,68,5.9,1434,19:23,,,,,
186,Kevin Dallman,25,D,LAK,53,1,9,10,-13,12,0.8,1,0,0,0,6,3,0,76,1.3,678,12:48,,,,,
187,Mathieu Dandenault,30,D,MTL,68,2,6,8,-8,40,1.7,2,0,0,0,6,0,0,54,3.7,1096,16:07,,,,,
188,Mathieu Darche,30,LW,SJS,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,18,9:13,,,,,
189,Pavel Datsyuk,28,C,DET,79,27,60,87,36,20,10.5,20,5,2,5,35,24,1,207,13.0,1577,19:57,,,,,
190,Rob Davison,26,D,SJS,22,0,2,2,-2,27,0.3,0,0,0,0,2,0,0,14,0.0,205,9:19,,,,,
191,Nigel Dawes,21,LW,NYR,8,1,0,1,-4,0,0.0,1,0,0,0,0,0,0,7,14.3,54,6:44,,,,,
192,Greg de Vries,34,D,ATL,82,3,21,24,-3,66,3.9,3,0,0,0,12,9,0,102,2.9,1824,22:14,,,,,
193,Pavol Demitra,32,RW,MIN,71,25,39,64,0,28,7.1,15,9,1,4,21,17,1,175,14.3,1466,20:39,,,,,
194,Nathan Dempsey,32,D,BOS,17,0,1,1,-2,6,0.1,0,0,0,0,1,0,0,4,0.0,169,9:57,,,,,
195,Boyd Devereaux,28,C,TOR,33,8,11,19,4,12,1.9,8,0,0,0,10,1,0,57,14.0,504,15:17,,,,,
196,Niko Dimitrakos,27,RW,PHI,5,0,0,0,-4,6,-0.2,0,0,0,0,0,0,0,4,0.0,43,8:32,,,,,
197,Joe DiPenta,27,D,ANA,76,2,6,8,1,48,2.2,2,0,0,1,6,0,0,33,6.1,924,12:09,,,,,
198,Shane Doan,30,RW,PHX,73,27,28,55,-14,73,5.2,16,11,0,7,16,12,0,209,12.9,1493,20:27,,,,,
199,Shean Donovan,32,RW,BOS,76,6,11,17,-13,56,0.1,6,0,0,0,9,0,2,108,5.6,1076,14:09,,,,,
200,Jim Dowd,38,C,NJD,66,4,4,8,-5,20,0.3,3,0,1,1,3,0,1,44,9.1,547,8:17,,,,,
201,Aaron Downey,32,RW,MTL,21,1,0,1,-6,48,-0.2,1,0,0,1,0,0,0,10,10.0,105,4:59,,,,,
202,Dallas Drake,37,RW,STL,60,6,6,12,-14,38,-0.1,4,0,2,2,5,0,1,74,8.1,773,12:53,,,,,
203,Kris Draper,35,C,DET,81,14,15,29,7,58,2.3,9,0,5,1,15,0,0,157,8.9,1357,16:45,,,,,
204,Chris Drury,30,C,BUF,77,37,32,69,1,30,7.5,17,17,3,9,22,10,0,199,18.6,1446,18:47,,,,,
205,Brandon Dubinsky,20,C,NYR,6,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,9,0.0,49,8:10,,,,,
